umidade_solo,umidade_ambiente,temperatura,volume_agua,datahora
47,43,25.8,0.01,2023-09-12 08:00:00
29,31,30.4,0.01,2023-09-12 09:00:00
38,41,26.6,0.3,2023-09-12 10:00:00
57,42,26.8,0.01,2023-09-12 11:00:00
63,39,26.6,0.0,2023-09-12 12:00:00
61,33,26.7,0.0,2023-09-12 13:00:00
60,32,26.9,0.0,2023-09-12 14:00:00
59,32,27.1,0.0,2023-09-12 15:00:00
59,34,27.3,0.0,2023-09-12 16:00:00
59,35,27.4,0.0,2023-09-12 17:00:00
58,36,27.5,0.0,2023-09-12 18:00:00
57,37,27.5,0.0,2023-09-12 19:00:00
57,38,27.6,0.0,2023-09-12 20:00:00
57,39,27.6,0.0,2023-09-12 21:00:00
57,40,27.5,0.0,2023-09-12 22:00:00
57,41,27.4,0.0,2023-09-12 23:00:00
57,42,27.3,0.0,2023-09-13 00:00:00
57,42,27.1,0.0,2023-09-13 01:00:00
58,43,26.9,0.0,2023-09-13 02:00:00
65,43,26.8,0.0,2023-09-13 03:00:00
68,44,26.6,0.0,2023-09-13 04:00:00
70,44,26.4,0.0,2023-09-13 05:00:00
69,45,26.2,0.0,2023-09-13 06:00:00
70,45,26.3,0.0,2023-09-13 07:00:00
79,44,26.4,0.0,2023-09-13 08:00:00
82,42,26.6,0.0,2023-09-13 09:00:00
74,46,27.0,0.0,2023-09-13 10:00:00
64,50,27.4,0.0,2023-09-13 11:00:00
64,48,27.5,0.0,2023-09-13 12:00:00
63,47,27.5,0.0,2023-09-13 13:00:00
62,48,27.7,0.0,2023-09-13 14:00:00
61,50,28.0,0.0,2023-09-13 15:00:00
61,47,28.2,0.0,2023-09-13 16:00:00
61,44,28.4,0.0,2023-09-13 17:00:00
61,43,28.5,0.0,2023-09-13 18:00:00
60,44,28.6,0.0,2023-09-13 19:00:00
60,44,28.7,0.0,2023-09-13 20:00:00
60,44,28.7,0.0,2023-09-13 21:00:00
60,44,28.7,0.0,2023-09-13 22:00:00
60,44,28.6,0.0,2023-09-13 23:00:00
60,44,28.6,0.0,2023-09-14 00:00:00
60,44,28.5,0.0,2023-09-14 01:00:00
60,45,28.5,0.0,2023-09-14 02:00:00
60,45,28.4,0.0,2023-09-14 03:00:00
59,45,28.4,0.0,2023-09-14 04:00:00
59,45,28.2,0.0,2023-09-14 05:00:00
59,46,28.1,0.0,2023-09-14 06:00:00
59,48,28.1,0.0,2023-09-14 07:00:00
60,48,28.4,0.0,2023-09-14 08:00:00
68,46,28.6,0.0,2023-09-14 09:00:00
55,43,28.7,0.0,2023-09-14 10:00:00
53,42,28.7,0.0,2023-09-14 11:00:00
74,39,28.5,0.0,2023-09-14 12:00:00
93,42,28.7,0.0,2023-09-14 13:00:00
96,44,28.5,0.0,2023-09-14 14:00:00
96,48,28.3,0.0,2023-09-14 15:00:00
97,51,28.0,0.0,2023-09-14 16:00:00
98,53,27.7,0.0,2023-09-14 17:00:00
98,51,27.3,0.0,2023-09-14 18:00:00
98,50,26.9,0.0,2023-09-14 19:00:00
98,50,26.6,0.0,2023-09-14 20:00:00
98,51,26.4,0.0,2023-09-14 21:00:00
98,50,26.1,0.0,2023-09-14 22:00:00
98,52,25.9,0.0,2023-09-14 23:00:00
98,53,25.8,0.0,2023-09-15 00:00:00
98,52,25.5,0.0,2023-09-15 01:00:00
98,52,25.2,0.0,2023-09-15 02:00:00
98,51,24.9,0.0,2023-09-15 03:00:00
98,50,24.5,0.0,2023-09-15 04:00:00
98,51,24.4,0.0,2023-09-15 05:00:00
98,51,24.2,0.0,2023-09-15 06:00:00
98,50,24.0,0.0,2023-09-15 07:00:00
98,50,23.9,0.0,2023-09-15 08:00:00
98,50,23.8,0.0,2023-09-15 09:00:00
