dia_semana,data,hora,umidade_solo,umidade_ambiente,temperatura,volume_agua
Terça,2023-09-12,08:26:00,48,43,25.5,0.0
Terça,2023-09-12,08:29:00,62,43,25.8,0.0
Terça,2023-09-12,08:39:00,45,43,25.7,0.0
Terça,2023-09-12,08:49:00,45,43,25.6,0.0
Terça,2023-09-12,08:58:00,0,42,25.9,0.0
Terça,2023-09-12,08:58:00,60,42,25.9,0.1
Terça,2023-09-12,08:59:00,66,42,25.9,0.0
Terça,2023-09-12,09:00:00,0,42,26.1,0.0
Terça,2023-09-12,09:06:00,0,43,26.1,0.0
Terça,2023-09-12,09:06:00,0,43,26.1,0.0
Terça,2023-09-12,09:14:00,0,0,44.9,0.0
Terça,2023-09-12,09:24:00,0,0,42.2,0.0
Terça,2023-09-12,09:25:00,56,1,41.3,0.0
Terça,2023-09-12,09:33:00,45,30,30.2,0.0
Terça,2023-09-12,09:43:00,43,37,27.9,0.0
Terça,2023-09-12,09:47:00,39,38,27.4,0.0
Terça,2023-09-12,09:47:00,42,38,27.4,0.0
Terça,2023-09-12,09:50:00,39,38,27.2,0.0
Terça,2023-09-12,09:50:00,62,38,27.2,0.02
Terça,2023-09-12,09:51:00,0,38,27.2,0.0
Terça,2023-09-12,09:51:00,61,38,27.2,0.09
Terça,2023-09-12,09:53:00,43,39,27.1,0.0
Terça,2023-09-12,10:00:00,38,40,26.7,0.0
Terça,2023-09-12,10:00:00,60,40,26.7,0.02
Terça,2023-09-12,10:01:00,52,41,26.7,0.0
Terça,2023-09-12,10:02:00,0,41,26.7,0.0
Terça,2023-09-12,10:02:00,63,41,26.7,0.03
Terça,2023-09-12,10:02:00,0,41,26.7,0.0
Terça,2023-09-12,10:02:00,62,41,26.7,0.02
Terça,2023-09-12,10:03:00,47,41,26.7,0.0
Terça,2023-09-12,10:03:00,0,40,26.6,0.0
Terça,2023-09-12,10:03:00,66,40,26.6,4.3
Terça,2023-09-12,10:03:00,66,40,26.6,0.0
